dataset	threshold_group	k	nodes	edges	n_contigs	n50	n90	longest	total_len	cov_mean	cov_median	cov_max	method	nodes_base	edges_base	n50_base	total_len_base	nodes_base_ds	edges_base_ds	n50_base_ds	total_len_base_ds	nodes_base_final	edges_base_final	n50_base_final	total_len_base_final	len_ratio	n50_ratio	frag_penalty	len_penalty	n50_reward	score
10K_lemuru50	0.3	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	12.1468	12.1468	12.1468	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
10K_lemuru50	0.3	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	12.1468	12.1468	12.1468	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
10K_lemuru50	0.5	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	19.292843	19.292843	19.292843	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.5	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	19.292843	19.292843	19.292843	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.5	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	19.292843	19.292843	19.292843	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.5	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	12.545652	12.545652	12.545652	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
10K_lemuru50	0.5	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	12.545652	12.545652	12.545652	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
10K_lemuru50	0.5	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	12.545652	12.545652	12.545652	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
10K_lemuru50	0.7	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	20.089307	20.089307	20.089307	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.7	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	20.089307	20.089307	20.089307	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.7	115	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	20.089307	20.089307	20.089307	cnn	2.0	2.0	16439.0	16439.0	1.0	0.0	16758.0	16758.0	2.0	2.0	16439.0	16439.0	1.0150860757953029	1.0150860757953029	0.0	0.015086075795302856	1.0150860757953029	1.0075430378976513
10K_lemuru50	0.7	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	13.039191	13.039191	13.039191	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
10K_lemuru50	0.7	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	13.039191	13.039191	13.039191	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
10K_lemuru50	0.7	127	1.0	0.0	1.0	16687.0	16687.0	16687.0	16687.0	13.039191	13.039191	13.039191	cnn	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	1.0	0.0	16758.0	16758.0	0.9957632175676694	0.9957632175676694	0.0	0.00423678243233061	0.9957632175676694	0.9936448263515041
3200_lemuru10	0.3	115	1.0	0.0	1.0	16646.0	16646.0	16646.0	16646.0	5.969391	5.969391	5.969391	cnn	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	0.9986201931728959	0.9986201931728959	0.0	0.0013798068271041464	0.9986201931728959	0.9979302897593438
3200_lemuru10	0.3	115	1.0	0.0	1.0	16646.0	16646.0	16646.0	16646.0	5.969391	5.969391	5.969391	cnn	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	0.9986201931728959	0.9986201931728959	0.0	0.0013798068271041464	0.9986201931728959	0.9979302897593438
3200_lemuru10	0.3	115	1.0	0.0	1.0	16646.0	16646.0	16646.0	16646.0	5.969391	5.969391	5.969391	cnn	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	0.9986201931728959	0.9986201931728959	0.0	0.0013798068271041464	0.9986201931728959	0.9979302897593438
3200_lemuru10	0.3	127	1.0	0.0	1.0	16646.0	16646.0	16646.0	16646.0	3.668382	3.668382	3.668382	cnn	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	0.9986201931728959	0.9986201931728959	0.0	0.0013798068271041464	0.9986201931728959	0.9979302897593438
3200_lemuru10	0.3	127	1.0	0.0	1.0	16646.0	16646.0	16646.0	16646.0	3.668382	3.668382	3.668382	cnn	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	1.0	0.0	16669.0	16669.0	0.9986201931728959	0.9986201931728959	0.0	0.0013798068271041464	0.9986201931728959	0.9979302897593438
